word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.053208044561048	3	0.1793415810801275	0.10134015343056667	81/38	cosine	average
вид	0.12348009741169372	3	0.2049243329590384	0.11340556801931011	38/36/3	cosine	average
винт	0.1222343302661482	3	0.1905157347370176	0.10769043179468588	67/39/16/1	cosine	average
горн	0.14251147785084997	9	0.22443816271052833	0.12778179765225042	30/20/1	cosine	average
губа	0.5542656243869717	2	0.24661444259080406	0.14232125065023016	132/3/2	cosine	average
жаба	0.0158723698296926	3	0.23707110515818888	0.1273380774231764	79/27/9/6	cosine	average
клетка	0.17560356698181043	2	0.17937914823554715	0.1031300782786944	96/38/7/4/4/1	cosine	average
крыло	0.2170422229164548	3	0.20939185552331316	0.11714496666504177	51/19/7/5/4/3/1/1	cosine	average
купюра	0.017999917793903537	9	0.2285922225508899	0.1280330636040233	138/12	cosine	average
курица	0.07388376450957151	5	0.24336891575100827	0.13930916624150014	62/31	cosine	average
лавка	0.1902995907595064	3	0.2914251740684462	0.1698330597359063	82/67	cosine	average
лайка	0.161054891472197	7	0.14546706922344615	0.07756722734408546	81/18	cosine	average
лев	0.036616660086853534	3	0.25566332670336694	0.1380987521223097	36/4/2/2	cosine	average
лира	0.509198691741619	3	0.23708946389808666	0.13271835464776746	33/16	cosine	average
мина	0.07219008356052042	2	0.1918554510602903	0.10678507861300718	51/12/2	cosine	average
мишень	-0.0006727211570803902	2	0.15279314388244972	0.08272547696479551	88/33	cosine	average
обед	0.034457518362416145	3	0.22532423712694324	0.1273284345851941	62/19/17/2	cosine	average
оклад	0.02625056277300465	9	0.20789023167724202	0.11644153518012791	137/5/4	cosine	average
опушка	0.13097347703570286	2	0.24478078572673184	0.1496374847719099	142/6	cosine	average
полис	0.0003066091469253077	9	0.17497544729486295	0.09976957251568909	139/3	cosine	average
пост	0.056944558746879544	2	0.16025382920434017	0.0901316565477881	98/32/10/2/2	cosine	average
поток	0.0037414412580642127	4	0.18837161409540917	0.10664684703042031	124/12	cosine	average
проказа	0.08390232557184066	2	0.21962787650595672	0.12244059887860087	95/51	cosine	average
пропасть	0.04622854364556626	4	0.22255276989874914	0.12704608210154714	92/25/7/3	cosine	average
проспект	0.16876652319688495	4	0.22820621913412878	0.13032744892042722	117/12/6/4	cosine	average
пытка	0.030736859573957092	4	0.18479764737601784	0.10058924052118516	116/27	cosine	average
рысь	0.07677899826220735	9	0.2032633907594789	0.11091870809120155	82/38	cosine	average
среда	0.3290230083127697	3	0.3256613843043011	0.1933814417831006	52/47/32/13	cosine	average
хвост	0.20728164836197485	3	0.26866179707315996	0.15473410450543576	100/12/8/1	cosine	average
штамп	0.01311501144961317	3	0.195080468276553	0.10723560570859865	47/45/3/1	cosine	average
